starttime	seconds	ctime	dtime	ttime	wait
Fri Jun 17 16:21:56 2011	1308320516	0	17	17	17
Fri Jun 17 16:21:56 2011	1308320516	0	17	17	17
Fri Jun 17 16:21:56 2011	1308320516	0	17	17	17
Fri Jun 17 16:21:56 2011	1308320516	0	17	17	17
Fri Jun 17 16:21:55 2011	1308320515	0	17	17	17
Fri Jun 17 16:21:56 2011	1308320516	0	17	17	17
Fri Jun 17 16:21:56 2011	1308320516	0	17	17	17
Fri Jun 17 16:21:56 2011	1308320516	0	17	17	17
Fri Jun 17 16:21:56 2011	1308320516	0	17	17	17
Fri Jun 17 16:21:56 2011	1308320516	0	17	17	17
Fri Jun 17 16:21:55 2011	1308320515	0	17	17	17
Fri Jun 17 16:21:56 2011	1308320516	0	17	17	17
Fri Jun 17 16:21:55 2011	1308320515	0	17	17	17
Fri Jun 17 16:21:55 2011	1308320515	0	17	17	17
Fri Jun 17 16:21:56 2011	1308320516	0	17	17	17
Fri Jun 17 16:21:55 2011	1308320515	0	17	17	17
Fri Jun 17 16:21:55 2011	1308320515	0	17	18	17
Fri Jun 17 16:21:55 2011	1308320515	0	17	18	17
Fri Jun 17 16:21:56 2011	1308320516	0	17	18	17
Fri Jun 17 16:21:56 2011	1308320516	0	17	18	17
Fri Jun 17 16:21:56 2011	1308320516	0	17	18	17
Fri Jun 17 16:21:55 2011	1308320515	0	18	18	18
Fri Jun 17 16:21:56 2011	1308320516	0	18	18	18
Fri Jun 17 16:21:56 2011	1308320516	0	18	18	18
Fri Jun 17 16:21:56 2011	1308320516	0	18	18	18
Fri Jun 17 16:21:56 2011	1308320516	0	18	18	18
Fri Jun 17 16:21:56 2011	1308320516	0	18	18	18
Fri Jun 17 16:21:56 2011	1308320516	0	18	18	18
Fri Jun 17 16:21:56 2011	1308320516	0	18	18	18
Fri Jun 17 16:21:56 2011	1308320516	0	18	18	18
Fri Jun 17 16:21:55 2011	1308320515	0	18	18	18
Fri Jun 17 16:21:56 2011	1308320516	0	18	18	18
Fri Jun 17 16:21:56 2011	1308320516	0	18	18	18
Fri Jun 17 16:21:56 2011	1308320516	0	18	18	18
Fri Jun 17 16:21:55 2011	1308320515	0	18	19	18
Fri Jun 17 16:21:55 2011	1308320515	0	18	19	18
Fri Jun 17 16:21:55 2011	1308320515	0	18	19	18
Fri Jun 17 16:21:56 2011	1308320516	0	19	19	18
Fri Jun 17 16:21:56 2011	1308320516	0	19	19	19
Fri Jun 17 16:21:56 2011	1308320516	0	19	19	19
Fri Jun 17 16:21:56 2011	1308320516	0	19	19	19
Fri Jun 17 16:21:56 2011	1308320516	0	19	19	19
Fri Jun 17 16:21:56 2011	1308320516	0	19	19	19
Fri Jun 17 16:21:56 2011	1308320516	0	19	19	19
Fri Jun 17 16:21:55 2011	1308320515	0	19	19	19
Fri Jun 17 16:21:55 2011	1308320515	0	19	19	19
Fri Jun 17 16:21:55 2011	1308320515	0	19	19	19
Fri Jun 17 16:21:56 2011	1308320516	0	19	19	19
Fri Jun 17 16:21:56 2011	1308320516	0	19	19	19
Fri Jun 17 16:21:56 2011	1308320516	0	19	19	19
Fri Jun 17 16:21:55 2011	1308320515	0	19	19	19
Fri Jun 17 16:21:56 2011	1308320516	0	19	19	19
Fri Jun 17 16:21:55 2011	1308320515	0	19	19	19
Fri Jun 17 16:21:55 2011	1308320515	0	19	19	19
Fri Jun 17 16:21:55 2011	1308320515	0	19	19	19
Fri Jun 17 16:21:56 2011	1308320516	0	19	19	19
Fri Jun 17 16:21:56 2011	1308320516	0	19	19	19
Fri Jun 17 16:21:55 2011	1308320515	0	19	20	19
Fri Jun 17 16:21:55 2011	1308320515	0	20	20	19
Fri Jun 17 16:21:55 2011	1308320515	0	20	20	20
Fri Jun 17 16:21:56 2011	1308320516	0	20	20	20
Fri Jun 17 16:21:56 2011	1308320516	0	20	20	20
Fri Jun 17 16:21:56 2011	1308320516	0	20	20	20
Fri Jun 17 16:21:55 2011	1308320515	0	20	20	20
Fri Jun 17 16:21:55 2011	1308320515	0	20	20	20
Fri Jun 17 16:21:56 2011	1308320516	0	20	20	20
Fri Jun 17 16:21:56 2011	1308320516	0	20	20	20
Fri Jun 17 16:21:56 2011	1308320516	0	20	20	20
Fri Jun 17 16:21:55 2011	1308320515	0	20	20	20
Fri Jun 17 16:21:55 2011	1308320515	0	20	20	20
Fri Jun 17 16:21:55 2011	1308320515	0	20	20	20
Fri Jun 17 16:21:56 2011	1308320516	0	20	20	20
Fri Jun 17 16:21:56 2011	1308320516	0	20	20	20
Fri Jun 17 16:21:55 2011	1308320515	0	20	21	20
Fri Jun 17 16:21:56 2011	1308320516	0	20	21	20
Fri Jun 17 16:21:56 2011	1308320516	0	21	21	20
Fri Jun 17 16:21:56 2011	1308320516	0	21	21	21
Fri Jun 17 16:21:56 2011	1308320516	0	21	21	21
Fri Jun 17 16:21:56 2011	1308320516	0	21	21	21
Fri Jun 17 16:21:55 2011	1308320515	0	21	21	21
Fri Jun 17 16:21:56 2011	1308320516	0	21	21	21
Fri Jun 17 16:21:55 2011	1308320515	0	21	21	21
Fri Jun 17 16:21:55 2011	1308320515	0	21	21	21
Fri Jun 17 16:21:56 2011	1308320516	0	21	21	21
Fri Jun 17 16:21:56 2011	1308320516	0	21	21	21
Fri Jun 17 16:21:56 2011	1308320516	0	21	21	21
Fri Jun 17 16:21:55 2011	1308320515	0	21	22	21
Fri Jun 17 16:21:56 2011	1308320516	0	21	22	21
