starttime	seconds	ctime	dtime	ttime	wait
Fri Jun 17 16:19:35 2011	1308320375	0	140	140	140
Fri Jun 17 16:19:32 2011	1308320372	0	140	140	140
Fri Jun 17 16:19:35 2011	1308320375	0	140	140	140
Fri Jun 17 16:19:35 2011	1308320375	0	140	140	140
Fri Jun 17 16:19:35 2011	1308320375	0	140	141	140
Fri Jun 17 16:19:33 2011	1308320373	0	141	141	141
Fri Jun 17 16:19:35 2011	1308320375	0	141	141	141
Fri Jun 17 16:19:33 2011	1308320373	0	141	141	141
Fri Jun 17 16:19:35 2011	1308320375	0	141	141	141
Fri Jun 17 16:19:33 2011	1308320373	0	141	141	141
Fri Jun 17 16:19:33 2011	1308320373	0	141	141	141
Fri Jun 17 16:19:34 2011	1308320374	0	141	141	141
Fri Jun 17 16:19:32 2011	1308320372	0	141	141	141
Fri Jun 17 16:19:33 2011	1308320373	0	141	141	141
Fri Jun 17 16:19:35 2011	1308320375	0	141	141	141
Fri Jun 17 16:19:34 2011	1308320374	0	141	141	141
Fri Jun 17 16:19:33 2011	1308320373	0	141	141	141
Fri Jun 17 16:19:35 2011	1308320375	0	141	142	141
Fri Jun 17 16:19:34 2011	1308320374	0	141	142	141
Fri Jun 17 16:19:34 2011	1308320374	0	141	142	141
Fri Jun 17 16:19:35 2011	1308320375	0	142	142	142
Fri Jun 17 16:19:32 2011	1308320372	0	142	142	141
Fri Jun 17 16:19:35 2011	1308320375	0	142	142	142
Fri Jun 17 16:19:32 2011	1308320372	0	142	142	142
Fri Jun 17 16:19:32 2011	1308320372	0	142	142	142
Fri Jun 17 16:19:34 2011	1308320374	0	142	142	142
Fri Jun 17 16:19:32 2011	1308320372	0	142	142	142
Fri Jun 17 16:19:33 2011	1308320373	0	142	142	142
Fri Jun 17 16:19:35 2011	1308320375	0	142	142	142
Fri Jun 17 16:19:32 2011	1308320372	0	142	143	142
Fri Jun 17 16:19:36 2011	1308320376	0	142	143	142
Fri Jun 17 16:19:32 2011	1308320372	0	142	143	142
Fri Jun 17 16:19:35 2011	1308320375	0	142	143	142
Fri Jun 17 16:19:34 2011	1308320374	0	142	143	142
Fri Jun 17 16:19:36 2011	1308320376	0	143	143	143
Fri Jun 17 16:19:36 2011	1308320376	0	143	143	143
Fri Jun 17 16:19:32 2011	1308320372	0	143	144	143
Fri Jun 17 16:19:32 2011	1308320372	0	143	144	143
Fri Jun 17 16:19:34 2011	1308320374	0	144	144	144
Fri Jun 17 16:19:35 2011	1308320375	0	144	144	144
Fri Jun 17 16:19:33 2011	1308320373	0	144	144	144
Fri Jun 17 16:19:35 2011	1308320375	0	144	144	144
Fri Jun 17 16:19:34 2011	1308320374	0	145	145	145
Fri Jun 17 16:19:35 2011	1308320375	0	145	145	145
Fri Jun 17 16:19:34 2011	1308320374	0	145	145	145
Fri Jun 17 16:19:32 2011	1308320372	0	145	145	145
Fri Jun 17 16:19:35 2011	1308320375	0	146	146	146
Fri Jun 17 16:19:34 2011	1308320374	0	146	146	146
Fri Jun 17 16:19:32 2011	1308320372	0	146	146	146
Fri Jun 17 16:19:34 2011	1308320374	0	146	146	146
Fri Jun 17 16:19:33 2011	1308320373	0	146	146	146
Fri Jun 17 16:19:32 2011	1308320372	0	146	146	146
Fri Jun 17 16:19:35 2011	1308320375	0	146	146	146
Fri Jun 17 16:19:35 2011	1308320375	0	146	146	146
